Group Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Overperforming Score
Indiana Shit Drivers,,2448884692101913,24853,2020-11-02 18:22:40 EST,Photo,274,90,177,70,8,135,3,1,2,,0,0,0,N/A,https://www.facebook.com/groups/2448884692101913/permalink/2840940382896340,Amish Trump Parade,https://www.facebook.com/photo.php?fbid=10220554142337937&set=gm.2840940382896340&type=3,,,,,,,760,7.98
New York City Lovers,,697689596979025,132638,2020-11-03 12:22:28 EST,Status,268,230,1,52,5,2,5,2,47,,0,0,0,N/A,https://www.facebook.com/groups/697689596979025/permalink/3475319032549387,"ADMIN COMMENT: I had to delete the post I posted this morning about the elections because people were calling me really bad names and threatening me. This is why I never talk about politics. The only thing I will say is, no matter who you vote, go vote. This country needs your vote more than ever. I wish people could understand everyone has an opinion and I think that if you can't handle the heat then you should get out of the kitchen. Unfortunately politics divides people, I don't want that in my group and that's why I deleted the post. Having said this, I'm sorry if I offended anyone, I just want what's best for America because I love this country so much.",,,,,,,,612,7.34
"Washington D.C. Housing, Rooms, Apartments, Sublets",,1468086266815937,117596,2020-11-12 19:02:23 EST,Photo,68,73,0,9,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1468086266815937/permalink/2517353241889229,"Hi! I’m planning on moving to DC around early January and am looking for roommate(s) to start a lease with (or an open room) in a cool area. I’d love to find 2-3 roommates to live in an apartment or row house + be friends with/explore DC together. A bit about me: I’m a 22 year old recent UCLA grad currently working for the Biden campaign. I enjoy going out with friends, traveling, thrifting, wine nights, going to concerts/festivals, and outdoorsy things. I’m clean, respectful, and chill. I would prefer a place that’s walking distance to the metro and maybe a grocery store. My budget is around $1300 but flexible. Feel free to message me if you’re looking for similar things!",https://www.facebook.com/photo.php?fbid=10224329135476606&set=gm.2517353241889229&type=3,,,Photos from Salma Srour's post,,,,150,6.52
Denver Free Fun,,1894066747532679,30209,2020-11-21 17:55:48 EST,Photo,80,49,11,21,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1894066747532679/permalink/2826475517625126,"We could all use a little extra cheer this year. We want to know where all the best home holiday lights are. Know of a home that really is amazing??? Post the address here and vote for your favorites by liking your favorite location posts here. The home that has the most likes on this post will win a free pass from Denver Free Fun advertising sponsor Colorado Get Out Pass giving them free access to tons of venues throughout Colorado throughout 2021!!! Cannot wait to see these amazing homes!!! The Get Out Pass will be awarded Friday, January 1, to the home that has received the most votes with a Denver Free Fun Community Choice award. #denverfreefun",https://www.facebook.com/photo.php?fbid=10226117917080808&set=gm.2826475517625126&type=3,,,,,,,161,6.44
You Know You From South Dallas If.....,,113523748745557,47664,2020-10-18 17:53:04 EDT,Link,30,99,23,14,0,24,0,0,1,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3250835491681018,,http://tmz.me/pwAJgFb?fbclid=IwAR2OWjHXkf714uGXIL_B6HgSwXb8Rk37RHYmd0EOEnut6vpvjbVV10emhDk,,,Donald Trump Says He May Leave U.S. if He Loses Presidential Election,President Trump and Tommy Lee now have something in common ... they've both said goodbye to America if their candidate loses the presidential election.,,,191,6.33
San Francisco Bay Area Street Photography,,52850385745,51811,2020-11-08 18:39:06 EST,Photo,293,39,36,94,3,3,0,1,2,,0,0,0,N/A,https://www.facebook.com/groups/52850385745/permalink/10159057356260746,Kamala Harris’ childhood home in Berkeley,https://www.facebook.com/photo.php?fbid=5050108938397641&set=gm.10159057356260746&type=3,,,,,,,471,6.25
You Know You From South Dallas If.....,,113523748745557,47690,2020-11-02 12:38:09 EST,Status,166,66,26,25,0,24,0,2,1,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3289812094450024,"Who else is ready to hear: “Donald Trump, you’re fired”?",,,,,,,,310,6.06
Washington Hikers and Climbers,,1523494334543575,156764,2020-11-03 20:47:25 EST,Photo,754,70,6,372,1,24,0,0,14,,0,0,0,N/A,https://www.facebook.com/groups/1523494334543575/permalink/3141107729448886,Mailbox Peak Fun ‼️ 💙📬💙 #vote #useyourvoice,https://www.facebook.com/photo.php?fbid=10221075055318918&set=gm.3141107729448886&type=3,,,,,,,"1,241",6.01
You Know You From South Dallas If.....,,113523748745557,47539,2020-09-19 03:59:39 EDT,Link,200,68,42,43,0,1,0,0,4,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3162112687219966,,https://dknation.draftkings.com/2020/9/17/21444263/deion-sanders-to-be-named-jackson-state-university-head-coach,,,Deion Sanders to be named head coach at Jackson State University,"According to a report, Prime Time is coming to the Tigers of the Southwest Athletic Conference.",,,358,6
Columbus Black Owned Businesses,,281688762959032,76228,2020-10-30 18:39:08 EDT,Photo,300,67,39,315,3,0,0,0,4,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/398031774658063,"She said she wanted ""something"" for her daughters first day of school. I had to ask her what does she like? She said idunno but she's smart. It made me think of my 15 year old genius. I told mine she had to come vote with me even though she is under age. She had to see there is more important things than bootie popping and hair. So when this beautiful smart pants walks in class, she can show she a smart, proud BLACK young woman. She needs to be safe so the mask of course had to match- stay safe! Text 614-588-6827 to order Follow me on Facebook Creative Bliss Follow me on Instagram @created_by_bliss Text 614-588-6827 to order #hoodie #hoodieseason #hoodieweather #hoodies #blacklivesmatter #smartblack #smallbusinessowner #mompreneur #smartblackgirls #614living #smallbiz #melaninpoppin #melaninmagic",https://www.facebook.com/photo.php?fbid=10159485609014739&set=gm.398031774658063&type=3,,,,,,,728,5.89
"Washington D.C. Housing, Rooms, Apartments, Sublets",,1468086266815937,118210,2020-11-28 10:57:06 EST,Photo,90,44,0,18,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1468086266815937/permalink/2530140013943885,"$2295/mo CAPITOL HILL 2BR/1BA terrace-level condo available January 1. Minimum 5-mo lease. Beautifully finished with quality materials like the marble bathroom and wide plank solid wood flooring. Deep front yard and private patio. South-facing, gourmet kitchen with subzero and Wolf appliances. Banquette seating & dining table and bar stools (come with the unit). Steps from Potomac Ave metro and across the street from Harris Teeter grocery store. Please text for a video tour or more info, 202-288-7227.",https://www.facebook.com/photo.php?fbid=10158565717046900&set=gm.2530140013943885&type=3,,,Photos from Kristin Gosselin Cummins's post,,,,152,5.63
Columbus Black Owned Businesses,,281688762959032,76037,2020-10-25 17:25:16 EDT,Photo,106,17,3,77,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/393798255081415,Shout out to J Lamont Sanders for completing the banner for our church. It's a temporary sign but we wanted something nice and he delivered. I love this page!!,https://www.facebook.com/photo.php?fbid=10218199141792791&set=gm.393798255081415&type=3,,,,,,,203,5.34
Columbus Black Owned Businesses,,281688762959032,76463,2020-11-07 13:12:41 EST,Photo,106,7,10,82,0,0,0,1,1,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/404629367331637,,https://www.facebook.com/photo.php?fbid=3272391249550502&set=p.3272391249550502&type=3,,,Alisha,"I must say.... It is an accomplishment that's definitely Noteworthy! Simply because she followed her dreams and did that! Vice President Kamala Harris !!!!
#followyourdreams
#blackgirlsrock
#womenrock",,,207,5.28
Original Chicago,,951998221479788,120385,2020-11-04 10:08:19 EST,Photo,255,68,197,3,239,504,14,16,2,,0,0,0,N/A,https://www.facebook.com/groups/951998221479788/permalink/3786751634671085,Day after Election Day,https://www.facebook.com/photo.php?fbid=3636555466388796&set=gm.3786751634671085&type=3,,,,,,,"1,298",5.25
Columbus Black Owned Businesses,,281688762959032,75125,2020-10-06 13:33:06 EDT,Native Video,96,25,13,44,0,0,0,0,1,original,0,0,0,00:00:00,https://www.facebook.com/groups/281688762959032/permalink/378549979939576,Today is the first day to vote early in person!!!! On Morse road at the board of elections. There will also be an event at Rosie’s on Morse for voting and people out there selling things. This will be my first event getting to sell some of my stuff and new things that you have not seen yet. Stop by and support from 12-4 TODAY!!!,https://www.facebook.com/groups/281688762959032/permalink/378549979939576/,,,,,,,179,5.24
Original Chicago,,951998221479788,120095,2020-10-31 20:51:33 EDT,Photo,608,91,144,270,55,0,0,0,2,,0,0,0,N/A,https://www.facebook.com/groups/951998221479788/permalink/3776199689059613,,https://www.facebook.com/photo.php?fbid=3701679753175542&set=gm.802386730343789&type=3,,,John,"The Cable mansion Designed in the Richardsonian Romanesque style by the eminent architectural partnership of Cobb and Frost, the house was built in 1885-86 for the family of the president of Chicago, Rock Island and Pacific Railway Company, Ransom R. Cable. The historic stracture nestled between the skyscrapers is locate at 1 East Erie street. The building has been meticulously restored to its former elegance by its present owner and Antunovich Associates, conforming to the strict guidelines established by the City of Chicago Historic Preservation Commission. Period lighting fixtures were installed along Wabash and Erie Streets adjacent to the property, along with new trees, landscaping, and landscape planters.",,,"1,170",5.15
"Washington D.C. Housing, Rooms, Apartments, Sublets",,1468086266815937,116476,2020-10-15 21:06:23 EDT,Photo,68,17,0,14,1,0,0,0,1,,0,0,0,N/A,https://www.facebook.com/groups/1468086266815937/permalink/2492108787747008,"-1 room available in Noma starting Dec 1st ($1,085/month) and comes with bed if needed. -The room is 14.5 x 12 feet (with a walk in closet that is 8 x 4 feet and is such a dream) -I love natural light and loved this room because it has 5 windows (4 in the main room, 1 in the closet!) -5 minute walk to a Trader Joe's, Harris Teeter, Union Market, and Noma-Gallaudet metro stop on Red line. -You would be living with 3 other 9-5 professionals all close to or in mid-20s (2 working from home) -must be LGBTQ+ friendly.",https://www.facebook.com/photo.php?fbid=10222001403776697&set=gm.2492108787747008&type=3,,,Photos from Mimi Mutesa's post,,,,101,4.76
Columbus Black Owned Businesses,,281688762959032,76395,2020-11-05 18:52:36 EST,Photo,274,47,11,248,0,0,0,0,5,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/403094310818476,"I have had my qualms about this page to say the least... but at the end of the day... BECAUSE THIS PAGE WAS CREATED: I grab a smoothie and tea from either Whitehall or Raider nutrition to get me going in the morning. I RELIGIOUSLY choose The Royce, should it be date night or another occasion. I get my facials and waxes done by the wonderful and very professional Dominique. Though I didn’t find them here, it is bc of this group that I force myself to drive all the way out east to go to Deka Lash on E broad, as it is a black owned franchise. I have purchased a matching mask and head wrap from hint of culture. By far my favorite mask. I make it a point to visit a black owned food truck before giving my dollars to a restaurant chain wherever I can during lunch. I mean long story short, I put an emphasis on BLACK this year, and this group is a daily reminder of why I do it. Regardless of the results of this election, I think we already knew that WE GOT US. We never had a candidate that stepped up to make up for how many CENTURIES they held us back, so we gon step and do it ourselves. We need to be boujie, we need to be exclusively BLACK all 2021 until we’re flooding into the neighborhoods they try so hard to keep us out of. Anyways, That was my soapbox speech. Just thought someone out there would feel me. *last pic is Rasta Pasta from Twinado Kitchen (they cater during off season for the foodtrucks) I also might as well add that if you’re in the market for a new or used car, I would love to have the opportunity to assist you. I sell new Toyotas and pre-owned anything ❤️",https://www.facebook.com/photo.php?fbid=2162916943851812&set=gm.403094310818476&type=3,,,Photos from Linda E Edwards's post,,,,585,4.72
You Know You From South Dallas If.....,,113523748745557,47629,2020-09-28 04:09:50 EDT,Link,23,53,23,0,2,23,1,6,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3190124091085492,What did he expect,https://www.foxnews.com/sports/herschel-walker-lost-friends-supporting-trump,,,Herschel Walker says he 'lost some friends' due to his support of President Trump,"Herschel Walker, an NFL great and longtime friend of President Trump, spoke at the Republican National Convention on Monday night because, he said, he wanted to give people a picture of who the president really is.",,,131,4.52
Indiana Shit Drivers,,2448884692101913,25940,2020-11-04 10:37:17 EST,Status,55,154,5,10,1,151,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/2448884692101913/permalink/2842641886059523,"Biden just announced when he wins the election, anyone that doesn't move over from the left lane will be incarcerated for a minimum of 10 years!",,,,,,,,376,4.48
San Jose Current Events,,1680158918899563,13235,2020-09-23 08:08:03 EDT,Link,125,13,35,59,0,1,0,1,1,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/2682716865310425,"Santa Clara County supervisors vote unanimously to declare Juneteenth an official county holiday, a first in California, the county says. [http://nbcbay.com/sAIxFfg](http://nbcbay.com/sAIxFfg?fbclid=IwAR2_UoSeZOuXqSjL0JDdbUh8LxrJBg_wNy1SkF9pLDvCT7XEGUpPU0oxV4c) [Photo: Getty Images]",http://nbcbay.com/sAIxFfg,,,Santa Clara County First in California to Make Juneteenth an Official Holiday,"Santa Clara County supervisors on Tuesday voted unanimously to declare Juneteenth an official county holiday, a first among California counties, according to a news release.",,,235,4.42
East Boston Open Discussion,,408282242636625,16863,2020-11-04 18:13:20 EST,Photo,55,188,8,50,1,4,1,2,7,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/2098145700316929,😁hello everyone 😁😁,https://www.facebook.com/photo.php?fbid=1271430539899031&set=p.1271430539899031&type=3,,Joe Biden 264 Donald Trump 270 to win 214 WA OR MT ND ID MN WY SD WI NV CA UT VT NH NE MI IA NY co PA oH KS AZ MO NM MA RI CT NJ OK AR NC SC GA TX AL DE MD HI DC Candidates Won Leads Electoral votes Vote,Marvy,MR PRESIDENT IS GETTING CLOSER TO THE WHITE HOUSE ! ! 🙏🙏,,,316,4.41
Washington Hikers and Climbers,,1523494334543575,157486,2020-11-19 03:52:31 EST,Status,56,46,0,2,1,116,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1523494334543575/permalink/3156164684609857,"The polls are closed, and we will soon have the results for the Washington Hikers and Climbers 2021 calendar! Or maybe not for a week or two. 😅 Ballots postmarked before midnight, November 18, 2020, will be counted, provided they reach us by November 21st (p.s. - there won't be any). Mark Stewart has already been caught tampering with ballots in an effort to have one of his photos selected for the calendar, and those actions have been reported to U.S. Attorney General William Barr. Meanwhile, more photos have been submitted for the contest, and the winning shots have received more votes, than in any WHC photo contest to date. Meaning everyone can argue what they want to about the election results with impunity! WooHoo!!!!",,,,,,,,221,4.33
You Know You From South Dallas If.....,,113523748745557,47570,2020-09-22 18:12:32 EDT,Link,79,17,28,24,6,1,0,0,1,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3173149896116245,,https://sports.yahoo.com/deion-sanders-reportedly-adds-terrell-182013110.html,,,"Deion Sanders reportedly adds Terrell Owens, more wild names to Jackson State coaching staff","Former Eagles wide out and general character Terrell Owens is back working in the football world, in a surprising way. By Adam Hermann",,,156,4.31
Columbus Black Owned Businesses,,281688762959032,76463,2020-11-07 14:28:52 EST,Link,59,0,7,39,0,0,0,0,1,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/404644313996809,Come to the statehouse to celebrate this victory! https://fb.me/e/1P6TUMjT0,https://www.facebook.com/events/2820143628232818/,,,BLMCO Celebration #BidenHarris2020,"Join the Sistahood for a celebration of the Biden/Harris victory! 
Rules still apply...mask up, social distance, remain peaceful and no property damage. 

We deserve to honor this victory today. we have much work to do after this. Let's take a pause and engage in some joy. ",,,106,4.2
You Know You From South Dallas If.....,,113523748745557,47812,2020-11-20 21:42:46 EST,Photo,195,149,19,57,2,0,0,0,5,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3338319872932579,Happy 78th Birthday Biden 🇺🇸 🥂 President Elect✔️,https://www.facebook.com/photo.php?fbid=2453342671637856&set=gm.3338319872932579&type=3,,,,,,,427,4.14
San Jose Current Events,,1680158918899563,13798,2020-11-05 05:50:05 EST,Link,35,124,2,3,1,0,9,8,2,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/2721288024786642,"The titans of the so-called gig economy bankrolled the most expensive ballot measure in state history, which was decided Tuesday with 58% of more than 11 million voters choosing to keep drivers classified as independent contractors able to set their own hours.",http://nbcbay.com/q7OB2di,,,"Uber, Lyft Spend Big, Win in California Vote About Drivers","Uber, Lyft and other app-based ride-hailing and delivery services spent $200 million in a winning bet to circumvent California lawmakers and the courts to preserve their business model by keeping drivers from becoming employees eligible for benefits and job protections.",,,184,4.14
East Boston Open Discussion,,408282242636625,16487,2020-09-09 14:52:32 EDT,Link,16,158,0,0,1,7,0,4,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/2041307286000771,"“Joseph R. Biden Jr., Mr. Trump’s Democratic opponent, excoriated the president over the report. ‘He knew and purposely played it down,’ Mr. Biden said during a speech in Warren, Mich. ‘Worse, he lied to the American people.’”",https://www.nytimes.com/live/2020/09/09/us/trump-vs-biden,,,"2020 Election Live Updates: Trump Downplayed Risk of Coronavirus But Privately Called It ‘Deadly,’ New Book Reports",Joe Biden will speak in Michigan and tout his plan to push companies to keep jobs in the U.S. A new Pennsylvania poll showed Mr. Biden widening his lead over President Trump in the key battleground state.,,,186,4.13
New York City Lovers,,697689596979025,132687,2020-11-04 06:33:27 EST,Status,234,27,0,45,0,0,0,0,6,,0,0,0,N/A,https://www.facebook.com/groups/697689596979025/permalink/3477223975692226,"ADMIN COMMENT: This is a reminder for everyone who got triggered by yesterday's post. I wanna make this as clear as I can. This is the last time I will ever talk about it. I know it's election day (I hope everyone here voted) and I know the internet is filled with politics and people debating on which candidate is better or worse than the other. I have made the decision that this group will remain politics free from now on. I'm sick and tired of the division that politics cause on people. I love people. I think human interaction is one of the best things in the world and politics do the exact opposite. And my group will not support that. I don't care if you vote for Trump or Biden. Do what you think it's best for this country. But do it consciously, the future of this country depends on it. I respect everyone's opinion and everybody should do the same. We are not here to have a bad time, right? We are here to enjoy and celebrate the city we all love. Whoever wins tonight, I hope it's the right choice for this country. We need a good man leading the United States of America. I just hope everything turns out good in the end. Peace & love ✌🏼",,,,,,,,312,3.97
Indiana Shit Drivers,,2448884692101913,24334,2020-11-01 17:06:58 EST,Status,132,164,0,3,0,29,0,0,2,,0,0,0,N/A,https://www.facebook.com/groups/2448884692101913/permalink/2839767439680301,"Was anyone in that Trump Supporter parade really bein' a shitty driver, or is it just 'bitch about current president supporters' hour?",,,,,,,,330,3.86
Columbus Black Owned Businesses,,281688762959032,75585,2020-10-14 15:47:38 EDT,Photo,180,23,16,80,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/384516189342955,It says I'm So Angry I Could Vote. Can someone make this for me?,https://www.facebook.com/photo.php?fbid=1606491449540733&set=gm.384516189342955&type=3,,,,,,,299,3.83
Original Chicago,,951998221479788,117282,2020-10-05 16:36:46 EDT,Photo,515,117,80,176,1,1,109,0,21,,0,0,0,N/A,https://www.facebook.com/groups/951998221479788/permalink/3697191570293759,"""I was born October 5, 1957, on the South Side of Chicago, in the Woodlawn area, a neighborhood that hasn't changed much in forty-five years. Our house was on 66th and Blackstone, but the city tore it down when the rats took over.""-Bernie Mac On what would have been his 63rd year of life, a Happy Birthday to Chicago's own son, the late Bernie Mac. 🎂🕊",https://www.facebook.com/photo.php?fbid=10164465270965486&set=gm.3697191570293759&type=3,,,,,,,"1,020",3.74
You Know You From South Dallas If.....,,113523748745557,47631,2020-10-02 01:06:51 EDT,Link,10,65,13,4,6,13,0,1,2,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3202443343186900,Trump Tests Positive for COVID-19.,https://www.nbcdfw.com/news/national-international/top-white-house-official-tests-positive-for-coronavirus/2453704/,,,"President Trump, Melania Test Positive for COVID-19","President Donald Trump has tested positive for the coronavirus, he announced early Friday morning.",,,114,3.73
You Know You From South Dallas If.....,,113523748745557,47659,2020-10-27 22:05:52 EDT,Photo,149,27,48,28,1,35,0,0,1,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3274810099283557,,https://www.facebook.com/AmericaVotesForBiden/photos/a.112741367264855/137741564764835/?type=3,,,America Votes For Biden,With age comes wisdom!,,,289,3.6
New To Austin 20-30’s (NTA),,233293443506311,10775,2020-11-05 21:02:49 EST,Photo,28,98,2,4,0,33,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/233293443506311/permalink/1827049147464058,Best election memes. ***please share in good fun! No rants or they will be deleted!,https://www.facebook.com/photo.php?fbid=10103463093065647&set=gm.1827049147464058&type=3,,,,,,,165,3.51
You Know You From South Dallas If.....,,113523748745557,47479,2020-08-31 19:14:35 EDT,Link,14,58,57,0,9,0,3,60,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3104538946310674,"[T](https://www.huffpost.com/entry/trump-defends-kyle-rittenhouse-kenosha-shooting_n_5f4d71aac5b64f17e1419ba5?fbclid=IwAR1jBSSYRjJkYrGco_8BYr2O3ImDr-sl8YkldqK-i2NlTmeY9WFw-pZUMng)his President is out of line, he has to go.",https://www.huffpost.com/entry/trump-defends-kyle-rittenhouse-kenosha-shooting_n_5f4d71aac5b64f17e1419ba5?fbclid=IwAR1jBSSYRjJkYrGco_8BYr2O3ImDr-sl8YkldqK-i2NlTmeY9WFw-pZUMng,,,Trump Defends Kyle Rittenhouse's Deadly Shooting: 'They Attacked Him',"The president said the armed teenage Trump supporter in Kenosha, Wisconsin, ""probably would have been killed"" at a protest over the police shooting of J...",,,201,3.41
San Jose Current Events,,1680158918899563,13554,2020-10-10 12:36:57 EDT,Photo,21,131,5,2,0,1,0,5,0,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/2697876253794486,"Election Time! Please know the facts about Prop 15. It may sound good to jump on board....make large businesses pay more taxes.....but like always, it’s not them who will actually pay the tax. It will destroy the already struggling small businesses in California. There are few if any commercial properties in the Bay Area worth less than $3 million. Many small businesses are able to stay in business because they bought their building 20+ years ago. They cannot afford to pay this tax increase. Other small businesses rent and those leases would be largely triple net which means the property tax increase will be passed on to them immediately. For the few who have a gross lease the property owner would pass the tax when the lease renews. Businesses would then have to pass the tax increase to the consumers. Others would close or move out of state. Prop 15 will especially hurt minority owned businesses. Before we give the government anymore money, there needs to be accountability. Property tax revenues have been increasing for years, more funding for schools but yet it’s never enough. The problems we have are not a lack of revenue, it’s policies and management.",https://www.facebook.com/photo.php?fbid=10217174500250808&set=gm.2697876253794486&type=3,,,,,,,165,3.37
Washington Hikers and Climbers,,1523494334543575,156983,2020-11-08 21:52:09 EST,Photo,373,258,44,129,17,0,0,0,1,,0,0,0,N/A,https://www.facebook.com/groups/1523494334543575/permalink/3146172912275701,"Okay, let's get the 2021 Washington Hikers and Climbers calendar contest started! Please read the rules below before submitting your one favorite photo from the year. CALENDAR CONTEST RULES: NOTE: Please add your photo to the album; do not post it in the comments. - Entries will be taken between November 8th and November 18th, and voting will occur simultaneously. - While photos may be submitted during the voting period, you will be at a disadvantage if you post late, as photos submitted earlier in the process will have more time to accumulate ""likes,"" etc. - Photo must be your own. ONE ENTRY PER PERSON. Any additional entries will be removed. - Your photograph needs to be of Washington state, and accompanied by your full name and location of the photo. If you don't want to disclose the location of your photo, don't submit it. - Horizontal pictures work MUCH better for the calendar, and are strongly preferred, but we have used vertical pictures once or twice in the past. - While the photograph you enter may be watermarked, any photo actually chosen for the calendar will need to be sent to us ""clean"" (i.e., without watermark). For now, you can watermark. - You may vote for as many photos as you like (but if you vote for all of them, your vote will be meaningless :) ). - At midnight on November 18th, the photos with the most ""likes"" will be selected for the 2021 Washington Hikers and Climbers Calendar. - There may or may not be a second calendar comprised of photos selected by the Admins and Moderators of WHC (in the past, we have created an Administrators' Choice Calendar in addition to the one voted on by members). This year, due to the pandemic, we are outsourcing production and delivery of the calendar, so not all details regarding production and sale of the calendar have been determined. - Calendars should be available for purchase after the contest is over for a price yet to be determined, but no more than $25.00, which this year will not include the cost of shipping. Net profits will be donated to Search and Rescue groups around the state. - Members of the Administrative Team (admins and moderators) are not eligible for the contest.",https://www.facebook.com/photo.php?fbid=10221445388796702&set=oa.1077078686080001&type=3,,,2021 Washington Hikers and Climber calendar photo contest,"Okay, let's get the 2021 Washington Hikers and Climbers calendar contest started!  Please read the rules below before submitting your one favorite photo from the year.

CALENDAR CONTEST RULES:

NOTE:  Please add your photo to the album; do not post it in the comments.

- Entries will be taken between November 8th and November 18th, and voting will occur simultaneously.  

- While photos may be submitted during the voting period, you will be at a disadvantage if you post late, as photos submitted earlier in the process will have more time to accumulate ""likes,"" etc.

- Photo must be your own. ONE ENTRY PER PERSON. Any additional entries will be removed.

- Your photograph needs to be of Washington state, and accompanied by your full name and location of the photo. If you don't want to disclose the location of your photo, don't submit it. 

- Horizontal pictures work MUCH better for the calendar, and are strongly preferred, but we have used vertical pictures once or twice in the past.

- While the photograph you enter may be watermarked, any photo actually chosen for the calendar will need to be sent to us ""clean"" (i.e., without watermark).  For now, you can watermark.

- You may vote for as many photos as you like (but if you vote for all of them, your vote will be meaningless :) ).

- At midnight on November 18th, the photos with the most ""likes"" will be selected for the 2021 Washington Hikers and Climbers Calendar.

- There may or may not be a second calendar comprised of photos selected by the Admins and Moderators of WHC (in the past, we have created an Administrators' Choice Calendar in addition to the one voted on by members).  This year, due to the pandemic, we are outsourcing production and delivery of the calendar, so not all details regarding production and sale of the calendar have been determined.

- Calendars should be available for purchase after the contest is over for a price yet to be determined, but no more than $25.00, which this year will not include the cost of shipping. Net profits will be donated to Search and Rescue groups around the state.

- Members of the Administrative Team (admins and moderators) are not eligible for the contest.",,,822,3.3
East Boston Open Discussion,,408282242636625,16850,2020-11-03 07:32:28 EST,Photo,194,25,9,41,0,1,0,0,1,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/2096647463800086,Lots of Eastie residents getting out to vote! Pictures taken around 7:15 at the McKay and Maverick. Go vote!,https://www.facebook.com/photo.php?fbid=10100459700099252&set=gm.2096647463800086&type=3,,,Photos from Nat Taylor's post,,,,271,3.29
Columbus Black Owned Businesses,,281688762959032,76758,2020-11-15 21:02:00 EST,Photo,151,29,3,69,1,0,0,0,1,,0,0,0,N/A,https://www.facebook.com/groups/281688762959032/permalink/411546526639921,"Had some awesome food today at Hen Quarter 🍴 ❤️❤️ Impeccable service, good music, beautiful decor and ambiance...topped with delicious beautifully plated and presented food! Don’t sleep on them, if you haven’t tried them....they are definitely a must. #columbusblackownedbusiness #blackexcellence",https://www.facebook.com/photo.php?fbid=10223781101693873&set=gm.411546526639921&type=3,,,Photos from Jennifer Harris Sharpe's post,,,,254,3.2
You Know You From South Dallas If.....,,113523748745557,47661,2020-10-17 15:45:43 EDT,Link,20,49,14,0,0,8,1,1,1,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3248142981950269,,https://www.thedailybeast.com/trump-threatens-to-leave-the-country-if-he-loses-to-biden,,,This is a re-share of a post,"More than an hour into his latest rambling campaign rally speech in Macon, Georgia, on Friday night, President Donald Trump briefly imagined a future where he loses the 2020 election to Joe Biden. “You know what? Running against the worst candidate in the history of American politics puts pressure on me,” Trump told the crowd. “Could you imagine if I lose? My whole life—what am I going to do? I’m going to say, I lost to the worst candidate in the history of politics! I’m not going to feel so good. Maybe I’ll have to leave the country, I don’t know.” Currently trailing Biden by double digits in most national and many battleground state polls, the president faces multiple potential prosecutions should fail to win a second term next month.",,,94,3.1
You Know You From South Dallas If.....,,113523748745557,47557,2020-09-21 13:23:40 EDT,Link,46,85,18,3,0,30,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/3169362079828360,Omg. Can you please make that a promise? I wholeheartedly approve his message. That will definitely be making America great again.,https://www.msn.com/en-us/news/politics/trump-tells-supporters-you-ll-never-see-me-again-if-he-loses-to-biden/ar-BB19en51,,,Trump tells supporters 'you'll never see me again' if he loses to Biden,"Trump made similar remarks in 2016, saying, ""I don't think I'm going to lose, but if I do, I don't think you're ever going to see me again.""",,,182,3.08
