Group Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Underperforming Score
Washington Hikers and Climbers,,1523494334543575,N/A,2016-09-24 10:09:43 EDT,Status,1,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1523494334543575/permalink/1957852137774457,Gonna hike up to Van Trump park. Who wants to go ??,,,,,,,,1,-41
You Know You From South Dallas If.....,,113523748745557,N/A,2016-11-01 11:56:43 EDT,Status,1,0,1,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1054692104628712,VOTE,,,,,,,,2,-37.5
East Boston Open Discussion,,408282242636625,N/A,2016-10-27 21:50:05 EDT,Photo,2,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/906332522831592,Please vote for Margherita Ciampa-Coyne for Suffolk County Registry of Deeds. I have over 25 years experience in title and land records and will work to protect your property rights.,https://www.facebook.com/photo.php?fbid=10211051372468177&set=gm.906332522831592&type=3,,,,,,,2,-36
You Know You From South Dallas If.....,,113523748745557,N/A,2016-09-01 09:56:59 EDT,Photo,2,0,1,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1001053466659243,Dallas citizens we have an opportunity to use our hard won and precious gift of the vote to make our city a better place. Let's commit to making Dallas a green city that's 100% renewable energy powered.,,,,,,,,3,-35.67
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-18 23:44:49 EDT,Photo,2,0,1,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1041675619263694,,https://www.facebook.com/51shadow50/photos/a.1075031709197425/1276881775679083/?type=3,,,Trill Throwbacks,Trill Clinton,,,3,-35.67
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-26 22:04:57 EDT,Photo,1,1,1,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1049164868514769,One day people will listen to the truth,https://www.facebook.com/TheOther98/photos/a.115969958413991/1508888725788767/?type=3,,THE GOP CURRENTLY CONTROLS: 248 OUT OF 440 SEATS IN HOUSE -54 OUT OF 100 SEATS IN SENATE 31 OUT OF 50 GOVERNORSHIPS 70 OUT OF 99 STATE CHAMBERS & THEY WANT YOU TO BELIEVE OBAMA IS RUINING AMERICA?,The Other 98%,Don't believe the hype.,,,3,-35.67
East Boston Open Discussion,,408282242636625,N/A,2016-10-11 06:28:26 EDT,Photo,2,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/894858027312375,,https://www.facebook.com/empowereastboston/photos/a.173701553005139.1073741827.172818413093453/317405011968125/?type=3,,,Empower East Boston,"As the presidential debates heat up, did you hear any good quotes? Do you want to win a $100 gift card? Send me your Trump and Clinton quotes related to the Eversource campaign, your contact info and if we select it, you win!",,,2,-33.5
East Boston Open Discussion,,408282242636625,N/A,2016-10-12 07:35:37 EDT,Photo,2,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/895568917241286,,https://www.facebook.com/empowereastboston/photos/a.173701553005139.1073741827.172818413093453/318021941906432/?type=3,,,Empower East Boston,"When a developer in East Boston wants to build/renovate anything, there is a process of at least 3 meetings with abutters and the neighborhood association before a vote on the project is taken.  How come when a utility company proposes to build a $48,000,000 project, there was no abutters meeting and a vote is taken after 1 presentation to the neighborhood? WHY?",,,2,-33.5
You Know You From South Dallas If.....,,113523748745557,N/A,2016-09-14 02:15:35 EDT,Video,1,1,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1011553395609250,Vote For Me Dolomite,https://youtu.be/JQUVp3dmN_c,,,barack-dolomite very funny video,barack giving a speech,,,2,-31
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-05 08:33:56 EDT,Link,1,0,0,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1029338510497405,What's is going to happen to Deep Ellum,https://www.facebook.com/coffeeandpoliticsonline/posts/953213004802243,,,This is a re-share of a post,Dallas City Council vote with take place Oct 11th @9am  to vote on transportation resolution for D2. Last year the vote was for surface alignment. That would create major change in flow for Deep Ellum. #D2 #canyoudigit #deepellum #dallas #citycouncil #vote #subway #future #growth #cityofdallas #cityhall #DART,,,2,-29.5
East Boston Open Discussion,,408282242636625,N/A,2016-09-15 18:50:46 EDT,Link,2,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/878690675595777,,https://www.facebook.com/events/867286823371657/,,,More Charter Schools?,"Voters will face a decision this November regarding charter school caps – whether or not to authorize up to 12 new charter schools or expand enrollment in existing Massachusetts charter schools beginning as early as January 2017. Will a “yes” vote harm mainstream schools and undermine their funding? What other opportunities are there for parents stuck on charter school waiting lists? Will this decision influence the future of charter schools nationwide? This referendum has attracted national attention in the heated controversy about the future of charter schools in the U.S. public school education system. How do taxpayers/voters determine what’s best to keep mainstream school systems healthy while looking out for what’s best for individual children? Join us as proponents and opponents square off on the merits of charter school expansion in this inaugural of the Askwith Debates.

Participants:

Tito Jackson, District 7 city councilor and chairman, Committee on Education, Boston City Council
Marc Kenen, executive director, Massachusetts Charter Public School Association
Michael Robinson, former charter parent; current parent, Mansfield Public Schools; lead consultant, Collaborative Consulting
LaTasha Sarpy, (truncated)",,,2,-28.5
San Jose Current Events,,1680158918899563,N/A,2016-08-21 11:14:14 EDT,Link,2,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/1727743477474440,Hillary Clinton has no Bay Area tech office. Nor can she muster anything close to the volunteer tech force that Obama marshaled in 2008 and 2012 or that primary rival Bernie Sanders deployed against her this year. ,http://www.mercurynews.com/elections/ci_30271439/silicon-valley-techies-not-yet-coding-clinton?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1471730926,,,Silicon Valley techies not yet coding for Clinton,"While Hillary Clinton has a formidable stable of tech workers, she has struggled to entice young designers and engineers to work for her and incorporate them into her operation, as her former rivals Bernie Sanders and President Barack Obama had done.",,,2,-28.5
San Jose Current Events,,1680158918899563,N/A,2016-10-24 12:52:39 EDT,Link,1,1,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/1755093418072779,"""We have a fair, impartial, accurate voting system and we take it very seriously,"" official said. ",http://patch.com/california/losgatos/s/fx3x7/santa-clara-co-leaders-respond-to-election-rigging-voter-fraud-allegations?utm_source=facebook.com&utm_medium=social&utm_term=politics+%26+government&utm_campaign=autopost&utm_content=losgatos,,,"Santa Clara Co. Leaders Respond To Election Rigging, Voter Fraud Allegations","""We have a fair, impartial, accurate voting system and we take it very seriously,"" official said.",,,2,-28.5
San Jose Current Events,,1680158918899563,N/A,2016-10-26 13:11:56 EDT,Link,0,2,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/1756102781305176,It's where all the hot San Jose State girls are at. And this event is the evening before #CampbellCon. So go!,https://www.facebook.com/events/174152286375986/,,,Open Mic'ers Costume Contest!,"Come on down to Caffe Frascati's Open Mic'ers Costume Contest! Everyone is welcome to perform. Musicians will get 2 songs, and comedians will get 5 minutes. Sign ins will start at 7:00 PM and the first performer will begin at 7:30 PM. We will do a lottery to determine your spot, and we will decide on the winners after the last performance by vote. There will be fun prizes for all categories listed below. Happy Halloween!

Categories:
Best Played Costume
Sexiest
Funniest
Scariest
Celebrity Lookalike
Least Thoughtful Costume
Most Likely to Fight a Clown
Best Clown
Best Song
Best Comedian
Best DIY Costum",,,2,-28.5
San Jose Current Events,,1680158918899563,N/A,2016-10-31 00:57:28 EDT,Link,2,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/1758531537728967,,https://www.facebook.com/events/989640514497213/,,,Bay Area #NoDAPL Pray Down the Banks!,"THE BAY AREA STANDS WITH STANDING ROCK! 

November 9th launches a National Week of Action to ""Shut Down The Banks"" in solidarity with Standing Rock Sioux Tribe against Dakota Access Pipeline, and San Francisco is home to Wells Fargo World HQ, one of the largest investors in DAPL. 

Through the power of prayer, we are peacefully demanding the financial industry's complete divestment of funds from DAPL. 

WE NEED VOLUNTEERS!  Please comment below to get directly involved in this action in San Francisco!

Please SHARE this event! INVITE! SHARE! Let's make the days after the election a huge #NoDAPL week of action! Stay tuned for more details, and help organize by spreading the 

As construction of Dakota Access Pipeline barrels toward the Missouri River -- destroying the sacred sites of Standing Rock Sioux Tribe and threatening the drinking water of millions -- there are no rooms in America more desperate for purification and positive energy right now than the bank lobbies of Citibank, Bank of America, Wells Fargo, PNC Bank, US Bank, and other major banks investing in DAPL. From November 9th to 12th, the days after the 2016 United States presidential election, we call on indigenous people and allies to smudge down banks (truncated)",,,2,-28.5
San Jose Current Events,,1680158918899563,N/A,2016-11-05 03:17:36 EDT,Link,0,1,0,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1680158918899563/permalink/1761352237446897,"We've got a roundup of sites in Alameda, Contra Costa, Santa Clara and San Mateo counties. ",http://www.mercurynews.com/2016/11/03/where-can-you-vote-early/?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1478214720,,,Where can you vote early?,Many Bay Area counties are open for walk-in voters through the weekend.,,,2,-28.5
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-13 10:29:05 EDT,Photo,2,0,2,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1036120969819159,Vote early! Get a mail in ballot if you can't make it to the polls. This election is crucial for the survival of our rights. Early voting is from October 24 to November 4 at any polling location convenient to you. If you are not Mobil there is curbside voting by just asking for it.,,,,,,,,4,-26.75
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-25 02:57:41 EDT,Photo,3,0,0,0,0,0,0,1,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1047193765378546,Please vote,https://www.facebook.com/photo.php?fbid=1778938585727244&set=gm.1047193765378546&type=3,,,Photos from Anna Henderson's post,,,,4,-26.75
You Know You From South Dallas If.....,,113523748745557,N/A,2016-10-30 15:10:18 EDT,Photo,4,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1052858791478710,You can still vote early until NOVEMBER 4th.,https://www.facebook.com/photo.php?fbid=576441012529418&set=gm.1052858791478710&type=3,,,,,,,4,-26.75
East Boston Open Discussion,,408282242636625,N/A,2016-10-19 14:36:55 EDT,Video,2,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/900785516719626,"Since people want to talk about why they ""hate Trump,"" I guess we can post a video that shows some of the unethical tactics used by Clinton and democrats. ",https://youtu.be/5IuJGHuIkzY,,,Rigging the Election - Video I: Clinton Campaign and DNC Incite Violence at Trump Rallies,"In this explosive new video from Project Veritas Action, a Democratic dirty tricks operative unwittingly provides a dark money trail to the DNC and Clinton c...",,,2,-25.5
You Know You From South Dallas If.....,,113523748745557,N/A,2016-09-28 18:02:37 EDT,Status,2,1,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1023043757793547,The Donald is a clear and present danger to our republic. There's only one choice as so many traditionally conservative Republican publications have stated. The choice is clear Madam Secretary Hillary Rodham Clinton POTUS 2016.,,,,,,,,3,-25
East Boston Open Discussion,,408282242636625,N/A,2016-09-16 17:52:09 EDT,Photo,3,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/879250225539822,,https://www.facebook.com/photo.php?fbid=10103108341590331&set=p.10103108341590331&type=3,,,Paul,"Vote yes on Question 2 for more money for public schools? How can that be?

Well, it's something like this. You have eight dollars and some change in your pocket, so you decide to get some lunch. You by a really yummy sandwich, but before you get a chance to eat, the neighborhood bully comes along and takes your lunch. Left with nothing more than some change in your pocket, you throw your last four quarters in the vending machine and buy a small bag of chips.

So, there you have it. You spent more money for lunch, nine dollars instead of eight dollars, but you certainly received a lot less than you started off with when the bully showed up.

It's the same thing for charter schools. With limited resources, school committees are squeezed between underfunded state appropriations and strict state limits on municipal taxation. A charter school is imposed by the state, and they take a very generous chunk out of your town's Chapter 70 aid. Maybe you can scrape up a couple of more bucks, some user fees, maybe an override, but you end up with much less than you started with for a higher cost.

Don't let a bunch of New York hedge fund guys eat your lunch. Vote NO on Question 2.",,,3,-24
"Washington D.C. Housing, Rooms, Apartments, Sublets",,1468086266815937,N/A,2016-08-11 15:35:39 EDT,Status,1,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/1468086266815937/permalink/1601812716776624,"[WANTED] Hey everyone! Im moving to DC in the fall for graduate school at Georgetown so I'm looking for a place to live for the school year. If anyone is looking for a roommate or has an open room in their current living situation, please let me know. I'm looking to spend no more than $1000/ month and would prefer to live with fellow graduate students or young professionals. I'm pretty easy to live with and keep my living space clean. I'm also really into sports (hockey, football, baseball, golf) so if we have that in common then we'll probably get along. Please don't message me if you're a Trump supporter. Thanks!",,,,,,,,1,-24
San Francisco Bay Area Street Photography,,52850385745,N/A,2016-09-28 00:03:02 EDT,Photo,3,1,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/52850385745/permalink/10154585668350746,If you have Instagram account! Go to ArtofVisuals and vote for #1 Thank you for your support.,https://www.facebook.com/photo.php?fbid=10157554120230436&set=gm.10154585668350746&type=3,,,,,,,4,-23.5
East Boston Open Discussion,,408282242636625,N/A,2016-09-09 09:06:12 EDT,Photo,3,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/874870575977787,,https://www.facebook.com/empowereastboston/photos/a.173701553005139.1073741827.172818413093453/300352753673351/?type=3,,,Empower East Boston,"Has notado nuestro Trump / Clinton display en Eagle Square? Esta es una réplica de los cables, 115,000 voltios Eversource quiere instalar en nuestras calles. Estamos tratando de tener un poco de diversión con nuestros anti-Eversource mensaje previo a las elecciones presidenciales. Me gustaría cambiar el mensaje cada dos semanas, y damos la bienvenida a las nuevas consignas. Siéntete libre para publicarlos aquí, o me las envían en un mensaje.",,,3,-22.33
East Boston Open Discussion,,408282242636625,N/A,2016-09-10 06:19:58 EDT,Photo,2,0,1,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/875419749256203,,https://www.facebook.com/empowereastboston/photos/a.173701553005139.1073741827.172818413093453/300781360297157/?type=3,,,Empower East Boston,"Do you want to win a $100 gift card?  Send me your Trump and Clinton quotes related to the Eversource campain, your contact info and if we select it, you win!",,,3,-22.33
You Know You From South Dallas If.....,,113523748745557,N/A,2016-11-04 10:18:33 EDT,Photo,5,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1058472467584009,Voting is NOT an optional act! #ExerciseYourRight #Vote,https://www.facebook.com/RepJohnLewis/photos/a.10150906420278405/10154579982903405/?type=3,,Police Carry Jokn Lewis SNCC Chairman-To Paddy Wagon. Lewis Was One of 21 Arrested,John Lewis,"I’ve marched, protested, been beaten and arrested--all for the right to vote. Friends of mine gave their lives. Honor their sacrifice. Vote.",,,5,-21.4
You Know You From South Dallas If.....,,113523748745557,N/A,2016-11-05 10:20:47 EDT,Photo,4,1,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/1059467467484509,"You ALWAYS have options... #VoteOrDie! Let's show up and show out on Tuesday, November 8th! #RainOrShine",https://www.facebook.com/photo.php?fbid=330000494042366&set=p.330000494042366&type=3,,,John Wiley,"514,000 Early voting results. Southern Sector appears a little weak, but yesterday was a BIG DAY!!! On track to meet and surpass 60.4% of Dallas Co. totals for 2012. The problem is we don't know how much of this is Trump inspired. 

Tuesday has rain in the forecast. Please help get the word out if you have not voted make whatever sacrifices to do so on Tuesday!!! It May sound like a throwback but it's VOTE or DIE!!!",,,5,-21.4
You Know You From South Dallas If.....,,113523748745557,N/A,2016-08-25 18:37:24 EDT,Native Video,2,0,0,0,0,0,0,0,0,share,0,98145,0,00:00:35,https://www.facebook.com/groups/113523748745557/permalink/995897323841524,Snoop on Trump!!!!,https://www.facebook.com/DaGrymReefer420/videos/1301965336502760/,,,Da Grym Reefer,Snoop Dogg has had enough and has been using his OG status to make a statement!,,,2,-21
You Know You From South Dallas If.....,,113523748745557,N/A,2016-08-27 14:02:39 EDT,Link,2,1,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/113523748745557/permalink/997228463708410,This is a clear representation of the facts regarding the proposed privatization of Fair Park.,http://www.dallasnews.com/opinion/editorials/20110504-editorial-friends-of-fair-park-are-no-friends-to-people-of-south-dallas.ece,,,This is a re-share of a post,"I've been receiving a smattering of e-mails from some of you purporting to support the Humann privatization plan for Fair Park.  In responding to those emails, it has become clear that at least some of you are confused about what you signed your name to. The emails were generated from a form published by the Friends of Fair Park. Let's clarify the Humann plan, and then let's talk about ""Friends"" of Fair Park.

Here's the web form (strongly recommend you not use it):

http://www.fairpark.org/updates/20160826.html

And here's the email text it generates:

""Dear Council Member Philip Kingston,

I support the Fair Park Texas Foundation and urge you to vote in favor of this public, private partnership. We cannot waste the potential of this 277-acre Dallas treasure. I want to see more green space, year-round use and positive connections to the surrounding neighborhood. We need Foundation management and adequate funding. It is a time for Dallas to come together in support of action for Fair Park after years of disrepair."" 

Here's what I've been sending back:

""Thanks for writing, but I will be opposing the proposal unless there are substantial improvements. Like any other contract with the city, we need an RFP to see if we (truncated)",,,3,-19.67
East Boston Open Discussion,,408282242636625,N/A,2016-10-18 20:10:02 EDT,Status,3,0,0,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/groups/408282242636625/permalink/900227093442135,Quick question has any republican ever won any election in east boston hmm maybe i could be the first,,,,,,,,3,-19
